Id	Subject	Object	Predicate	Lexical cue
T1	0-17	Protein	denotes	Ovarian aromatase
T3	18-34	NegReg	denotes	loss-of-function
T4	35-41	Var	denotes	mutant
T7	49-56	Reg	denotes	undergo
T5	57-75	CPA	denotes	ovary degeneration
T6	80-115	CPA	denotes	partial female-to-male sex reversal
T2	416-423	Gene	denotes	cyp19a1
R1	T1	T4	ThemeOf	Ovarian aromatase,mutant
R2	T4	T3	CauseOf	mutant,loss-of-function
R3	T3	T7	CauseOf	loss-of-function,undergo
R4	T5	T7	ThemeOf	ovary degeneration,undergo
R5	T6	T7	ThemeOf	partial female-to-male sex reversal,undergo
