seq_no,qid,correct
Q1-1,bb_train_299,No
Q1-2,bb_train_299,Yes
Q1-3,bb_train_299,No
Q1-4,bb_train_299,Yes
Q1-5,bb_train_299,Yes
Q2-1,bb_dev_146,Yes
Q2-2,bb_dev_146,No
Q2-3,bb_dev_146,No
Q2-4,bb_dev_146,Yes
Q2-5,bb_dev_146,Yes
Q3-1,bb_train_315,No
Q3-2,bb_train_315,Yes
Q3-3,bb_train_315,Yes
Q3-4,bb_train_315,Yes
Q3-5,bb_train_315,Yes
Q4-1,bb_train_22,No
Q4-2,bb_train_22,No
Q4-3,bb_train_22,Yes
Q4-4,bb_train_22,No
Q4-5,bb_train_22,No
Q5-1,bb_train_195,Yes
Q5-2,bb_train_195,Yes
Q5-3,bb_train_195,Yes
Q5-4,bb_train_195,Yes
Q5-5,bb_train_195,No
