seq_no,qid,correct
Q1-1,seedev_train_965,Yes
Q1-2,seedev_train_965,Yes
Q1-3,seedev_train_965,Yes
Q1-4,seedev_train_965,Yes
Q1-5,seedev_train_965,Yes
Q2-1,seedev_train_971,No
Q2-2,seedev_train_971,Yes
Q2-3,seedev_train_971,No
Q2-4,seedev_train_971,No
Q2-5,seedev_train_971,No
Q3-1,seedev_train_77,Yes
Q3-2,seedev_train_77,Yes
Q3-3,seedev_train_77,Yes
Q3-4,seedev_train_77,No
Q3-5,seedev_train_77,Yes
Q4-1,seedev_train_186,Yes
Q4-2,seedev_train_186,Yes
Q4-3,seedev_train_186,Yes
Q4-4,seedev_train_186,Yes
Q4-5,seedev_train_186,Yes
Q5-1,seedev_dev_149,No
Q5-2,seedev_dev_149,No
Q5-3,seedev_dev_149,No
Q5-4,seedev_dev_149,Yes
Q5-5,seedev_dev_149,Yes
