seq_no,qid,correct
Q1-1,seedev_dev_256,Yes
Q1-2,seedev_dev_256,Yes
Q1-3,seedev_dev_256,Yes
Q1-4,seedev_dev_256,Yes
Q1-5,seedev_dev_256,No
Q2-1,seedev_dev_210,No
Q2-2,seedev_dev_210,Yes
Q2-3,seedev_dev_210,No
Q2-4,seedev_dev_210,No
Q2-5,seedev_dev_210,No
Q3-1,seedev_train_714,Yes
Q3-2,seedev_train_714,Yes
Q3-3,seedev_train_714,Yes
Q3-4,seedev_train_714,No
Q3-5,seedev_train_714,No
Q4-1,seedev_train_86,Yes
Q4-2,seedev_train_86,No
Q4-3,seedev_train_86,Yes
Q4-4,seedev_train_86,No
Q4-5,seedev_train_86,No
Q5-1,seedev_train_528,Yes
Q5-2,seedev_train_528,Yes
Q5-3,seedev_train_528,Yes
Q5-4,seedev_train_528,No
Q5-5,seedev_train_528,No
