seq_no,qid,correct
Q1-1,seedev_train_915,No
Q1-2,seedev_train_915,No
Q1-3,seedev_train_915,No
Q1-4,seedev_train_915,No
Q1-5,seedev_train_915,No
Q2-1,seedev_dev_118,Yes
Q2-2,seedev_dev_118,Yes
Q2-3,seedev_dev_118,Yes
Q2-4,seedev_dev_118,No
Q2-5,seedev_dev_118,No
Q3-1,seedev_train_82,No
Q3-2,seedev_train_82,No
Q3-3,seedev_train_82,No
Q3-4,seedev_train_82,No
Q3-5,seedev_train_82,No
Q4-1,seedev_train_668,Yes
Q4-2,seedev_train_668,No
Q4-3,seedev_train_668,No
Q4-4,seedev_train_668,No
Q4-5,seedev_train_668,No
Q5-1,seedev_dev_354,No
Q5-2,seedev_dev_354,Yes
Q5-3,seedev_dev_354,No
Q5-4,seedev_dev_354,Yes
Q5-5,seedev_dev_354,No
