seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q1-1,seedev_train_527,Composes_Protein_Complex,Protein,KAPP,Protein_Complex,"Continuous growth and development in plants are accomplished by meristems, groups of undifferentiated cells that persist as stem cells and initiate organs. While the structures of the apical and floral meristems in dicotyledonous plants have been well described, little is known about the underlying molecular mechanisms controlling cell proliferation and differentiation in these structures. We have shown previously that the CLAVATA1 (CLV1) gene in Arabidopsis encodes a receptor kinase-like protein that controls the size of the apical and floral meristems. Here, we show that KAPP, a gene encoding a kinase-associated protein phosphatase, is expressed in apical and young floral meristems, along with CLV1. Overexpression of KAPP mimics the clv1 mutant phenotype. Furthermore, CLV1 has kinase activity: it phosphorylates both itself and KAPP. Finally, KAPP binds and dephosphorylates CLV1. We present a model where KAPP functions as a negative regulator of the CLAVATA1 signal transduction pathway.",phosphatase,No,This paragraph uses KAPP to refer to the gene; the phosphatase mentioned is simply the protein that gene encodes.
Q1-2,seedev_train_527,Composes_Protein_Complex,Protein,KAPP,Protein_Complex,"Determination of Kapp either after correction for these LJP changes or via direct reference to a Na(+) electrode showed that SCFAs do not bind Ca(2+) and that the Kapp for the binding of Ca(2+) to gluconate at pH 7.4, ionic strength 0.15M, and 23°C was 52.7mM.",gluconate,No,"Irrelevant paragraph. Kapp in this case is a dissociation constant, not the protein addressed in the triple."
Q1-3,seedev_train_527,Composes_Protein_Complex,Protein,KAPP,Protein_Complex,"In the intact rat myometrium, forskolin stimulated cyclic AMP generation and markedly potentiated increases in cyclic AMP caused by isoproterenol, prostaglandin E2 and prostacyclin. The diterpene increased the maximal responses and lowered the EC50 for both isoproterenol- and prostaglandin-stimulated cyclic AMP accumulation. Forskolin did not modify the Ki for the beta-adrenergic antagonist propranolol. Activation of cyclic AMP generation by forskolin was biphasic with respect to concentration; the major response being mediated by a low affinity interaction (Kapp 28 microM) and a minor effect being due to an interaction with a high affinity site (Kapp 0.5 microM). By contrast, the synergistic effect of the diterpene with isoproterenol, prostaglandin E2 as well as with cholera toxin, involved a single component of high affinity (Kapp 0.5 to 2 microM), which was thus considered to be associated with the activated complex of the cyclase catalytic subunit and the guanine nucleotide regulatory protein. Forskolin could further partially maintain isoproterenol-mediated synergism in a beta-adrenergic desensitized tissue.",guanine nucleotide regulatory protein,No,"This paragraph, like the previous one, is discussing Kapp, not KAPP. This is a dissociation constant and is not relevant to the protein addressed in the triple."
Q1-4,seedev_train_527,Composes_Protein_Complex,Protein,KAPP,Protein_Complex,"AtSERK1(T463A)-CFP and AtSERK1(3T-->A)-CFP proteins were partially sequestered intracellularly in the absence of KAPP-YFP protein, suggesting an active role for KAPP dephosphorylation of threonine residues in the AtSERK1 A-loop in receptor internalization. The interaction between the KAPP-CFP/YFP and AtSERK1-CFP/YFP fusion proteins was investigated with fluorescence spectral imaging microscopy (FSPIM). Our results show that AtSERK1-CFP and KAPP-YFP proteins are colocalized at the plasma membrane but only show fluorescence energy transfer (FRET) indicative of physical interaction in intracellular vesicles. These results suggest that KAPP is an integral part of the AtSERK1 endocytosis mechanism.","KAPP-YFP protein,",Yes,"The YFP is a phosphorescent tag on the KAPP protein, which is added in the experiment  and is not found in vivo, but KAPP-YFP is a protein complex composed primarily of KAPP."
Q1-5,seedev_train_527,Composes_Protein_Complex,Protein,KAPP,Protein_Complex,"FHA domains are phosphoThr recognition modules found in diverse signaling proteins, including kinase-associated protein phosphatase (KAPP) from Arabidopsis thaliana. The kinase-interacting FHA domain (KI-FHA) of KAPP targets it to function as a negative regulator of some receptor-like kinase (RLK) signaling pathways important in plant development and environmental responses. To aid in the identification of potential binding sites for the KI-FHA domain, we predicted (i) the structure of a representative KAPP-binding RLK, CLAVATA1, and (ii) the functional surfaces of RLK kinase domains using evolutionary trace analysis. We selected phosphopeptides from KAPP-binding Arabidopsis RLKs for in vitro studies of association with KI-FHA from KAPP. Three phosphoThr peptide fragments from the kinase domain of CLV1 or BAK1 were found to bind KI-FHA with KD values of 8-20 microM, by NMR or titration calorimetry. Their affinity is driven by favorable enthalpy and solvation entropy gain. Mutagenesis of these three threonine sites suggests Thr546 in the C-lobe of the BAK1 kinase domain to be a principal but not sole site of KI-FHA binding in vitro.",kinase-associated protein phosphatase,No,The most correct answer in this paragraph appears to be CLAVATA1 or CLV1. Kinase-associated protein phosphatase is simply what KAPP stands for and offers no new information.
Q2-1,seedev_train_511,Composes_Protein_Complex,Protein,CO-like,Protein_Complex,"In non-bolting plants, the bolting activator BvFT2 was completely downregulated whereas the repressor BvFT1 was upregulated which suggests that both genes acquire a CONSTANS (CO) like function in beet. Like CO, B and B2 proteins house CCT and BBX domains which, in contrast to CO are split between the two beet genes. We propose an alternative regulation of FT orthologs in beet that can be exploited to breed winter beets.",beet,No,"The beet is the organism where the protein is found, not a protein complex."
Q2-2,seedev_train_511,Composes_Protein_Complex,Protein,CO-like,Protein_Complex,"Flowering time is an important agronomic trait that coordinates the plant life cycle with regional adaptability and thereby impacts yield potentials for cereal crops. The CONSTANS (CO)-like gene family plays vital roles in the regulation of flowering time. CO-like proteins are typically divided into four phylogenetic groups in rice. Several genes from groups I, III, and IV have been functionally characterized, though little is known about the genes of group II in rice. We report the functional characterization in rice of a constitutive floral inhibitor, OsCOL16, encoding a group-II CO-like protein that delays flowering time and increases plant height and grain yield. Overexpression of OsCOL16 resulted in late heading under both long-day and short-day conditions. OsCOL16 expression exhibits a diurnal oscillation and serves as a transcription factor with transcriptional activation activity. We determined that OsCOL16 up-regulates the expression of the floral repressor Ghd7, leading to down-regulation of the expression of Ehd1, Hd3a, and RFT1. Moreover, genetic diversity and evolutionary analyses suggest that remarkable differences in flowering times correlate with two major alleles of OsCOL16. Our combined molecular biology and phylogeographic analyses revealed that OsCOL16 plays an important role in regulating rice photoperiodic flowering, allowing for environmental adaptation of rice.",rice,No,"As in the previous paragraph, rice is the organism studied, not a protein complex."
Q2-3,seedev_train_511,Composes_Protein_Complex,Protein,CO-like,Protein_Complex,"The boost protein expression has been done successfully by simple co-expression with a late embryogenesis abundant (LEA)-like peptide in Escherichia coli. Frequently, overexpression of a recombinant protein fails to provide an adequate yield. In the study, we developed a simple and efficient system for overexpressing transgenic proteins in bacteria by co-expression with an LEA-like peptide. The design of this peptide was based on part of the primary structure of an LEA protein that is known hydrophilic protein to suppress aggregation of other protein molecules. In our system, the expression of the target protein was increased remarkably by co-expression with an LEA-like peptide consisting of only 11 amino acid residues. This could provide a practical method for producing recombinant proteins efficiently.",Escherichia coli,No,"Also an organism studied, not a protein complex."
Q2-4,seedev_train_511,Composes_Protein_Complex,Protein,CO-like,Protein_Complex,"Using a cell-based complementation assay, we tested the PCD-like proteins from T. intermedia and two additional bacteria, and found no evidence for PCD enzymatic activity. However, we discovered that heterologous co-expression of the PCD-like protein from Halothiobacillus neapolitanus with RuBisCO and GroELS in Escherichia coli increased the amount of soluble, assembled RuBisCO recovered from cell lysates compared with co-expression of RuBisCO with GroELS alone. We conclude that this conserved PCD-like protein, renamed here α-carboxysome RuBisCO assembly factor (or acRAF), is a novel RuBisCO chaperone integral to α-carboxysome function.",Escherichia coli,No,"Also an organism studied, not a protein complex."
Q2-5,seedev_train_511,Composes_Protein_Complex,Protein,CO-like,Protein_Complex,"Plants flower in an appropriate season to allow sufficient vegetative development and position flower development in favorable environments. In Arabidopsis, CONSTANS (CO) and FLAVIN-BINDING KELCH REPEAT F-BOX1 (FKF1) promote flowering by inducing FLOWER LOCUS T (FT) expression in the long-day afternoon. The CO protein is present in the morning but could not activate FT expression due to unknown negative mechanisms, which prevent premature flowering before the day length reaches a threshold. Here, we report that TARGET OF EAT1 (TOE1) and related proteins interact with the activation domain of CO and CO-like (COL) proteins and inhibit CO activity. TOE1 binds to the FT promoter near the CO-binding site, and reducing TOE function results in a morning peak of the FT mRNA. In addition, TOE1 interacts with the LOV domain of FKF1 and likely interferes with the FKF1-CO interaction, resulting in partial degradation of the CO protein in the afternoon to prevent premature flowering.",(COL),No,"COL is simply an acronym of CO-like, not a new concept or a protein complex."
