seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q1-1,bb_train_299,Exhibits,Microorganism,Leuconostoc mesenteroides,Phenotype,"Pediococcus pentosaceus, Leuconostoc citreum, Leuconostoc gelidum, and Leuconostoc mesenteroides were the dominant bacteria in kimchi. The other strains identified were Tetragenococcus, Pseudomonas, Weissella, and uncultured bacterium. Comprehensive analysis of these microorganisms could provide a more detailed understanding of the biologically active components of kimchi and help improve its quality. PCR-DGGE analysis can be successfully applied to a fermented food to detect unculturable or other species.",dominant bacteria in kimchi,No,dominant bacteria in kimchi is not a phenotype.
Q1-2,bb_train_299,Exhibits,Microorganism,Leuconostoc mesenteroides,Phenotype,"The present study reports the complete genome sequence of Leuconostoc mesenteroides strain LT-38, which is a non-spore-forming Gram-positive lactic acid bacterium. The genome is composed of a 2,022,184-bp circular chromosome and contains 2,005 putative protein-coding genes.",non-spore-forming Gram-positive lactic acid bacterium.,Yes,
Q1-3,bb_train_299,Exhibits,Microorganism,Leuconostoc mesenteroides,Phenotype,"Leuconostoc mesenteroides subsp. mesenteroides is one of the most predominant lactic acid bacterial groups during kimchi fermentation. Here, we report the complete genome sequence of L. mesenteroides subsp. mesenteroides J18, which was isolated from kimchi. The genome of the strain consists of a 1,896,561-bp chromosome and five plasmids.",one of the most predominant lactic acid bacterial groups during kimchi fermentation,No,one of the most predominant lactic acid bacterial groups during kimchi fermentation is not a phenotype.
Q1-4,bb_train_299,Exhibits,Microorganism,Leuconostoc mesenteroides,Phenotype,"Lactobacillus sanfranciscensis, Leuconostoc mesenteroides and Leuconostoc citreum are high mannitol producing lactic acid bacteria (LAB) strains with yields of 70-98% and Leuconostoc oenos was found to produce erythritol. Furthermore, the yeast strain Candida milleri isolated from sourdough produces xylitol in the presence of xylose. Exopolysaccharides produced by LAB and/or yeasts are known to improve the texture and structure of bakery products and, thus, have high potential as natural functional ingredients to compensate quality loss in sweet bakery goods.",high mannitol producing lactic acid bacteria,Yes,
Q1-5,bb_train_299,Exhibits,Microorganism,Leuconostoc mesenteroides,Phenotype,This report demonstrates a food-applicable Leuconostoc mesenteroides strain secreting exopolysaccharide that shows high IgA-inducing ability.,high IgA-inducing ability.,Yes,
Q2-1,bb_dev_146,Exhibits,Microorganism,L. lactis subsp. cremoris strain B1157,Phenotype,"Indigenous lactic acid bacteria in ewe's milk and artisanal cheese were studied in four samples of fresh raw milk and four 1-month-old cheeses from the provinces of northwest Argentina. Mean growth counts on M17, MRS, and MSE agar media did not show significant differences (P < 0.05) in raw milk and cheeses. Isolates of lactic acid bacteria from milk were identified as Enterococcus (48%), lactococci (14%), leuconostocs (8%), and lactobacilli (30%). All lactococci were identified as Lactococcus lactis (subsp. lactis and subsp. cremoris). Lactobacilli were identified as Lactobacillus plantarum (92%) and Lactobacillus acidophilus (8%). Enterococci (59%) and lactobacilli (41%) were isolated from cheeses. L. plantarum (93%), L. acidophilus (5%), and Lactobacillus casei (2%) were most frequently isolated. L. lactis subsp. lactis biovar diacetylactis strains were considered as fast acid producers. L. lactis subsp. cremoris strains were slow acid producers.",slow acid producers,Yes,
Q2-2,bb_dev_146,Exhibits,Microorganism,L. lactis subsp. cremoris strain B1157,Phenotype,"This could also be seen from the data: in L. lactis subsp. cremoris B1157 about 80% of the flavour formed in the incubation experiment was 3-methylbutanal, while for C. ammoniagenes B1506 this percentage was about 20% (data not shown).Taken  together, our results indicate that various strains and species used in  the dairy industry vary significantly in the enzyme activities involved  in the conversion of the amino acid leucine into flavour components like 3-methylbutanal.","about 80% of the flavour formed in the incubation experiment was 3-methylbutanal,",No,
Q2-3,bb_dev_146,Exhibits,Microorganism,L. lactis subsp. cremoris strain B1157,Phenotype,"Lactococcus lactis subsp. lactis strains show glutamate decarboxylase activity, whereas L. lactis subsp. cremoris strains do not. The gadB gene encoding glutamate decarboxylase was detected in the L. lactis subsp. cremoris genome but was poorly expressed. Sequence analysis showed that the gene is inactivated by the frameshift mutation and encoded in a nonfunctional protein.",L. lactis subsp. cremoris strains do not.,No,
Q2-4,bb_dev_146,Exhibits,Microorganism,L. lactis subsp. cremoris strain B1157,Phenotype,"In line with this, L. lactis subsp. cremoris B697, a strain with a high hydroxy acid dehydrogenase activity compared to the transaminase activity (Fig. 3A, B), did not produce detectable amounts of 3-methylbutanal. Interestingly, L. lactis subsp. cremoris strain B1157, a strain reported to produce high levels of 3-methylbutanal (Ayad et al. 1999, 2000),  has transaminase and hydroxy acid dehydrogenase activities approximately similar to those of strain B697.",transaminase and hydroxy acid dehydrogenase activities approximately similar to those of strain B697.,Yes,
Q2-5,bb_dev_146,Exhibits,Microorganism,L. lactis subsp. cremoris strain B1157,Phenotype,"Lactococcus lactis strains were examined for their ability to produce gamma-aminobutyric acid (GABA). Results showed that strains of L. lactis subsp. lactis were able to produce this acid, whereas L. lactis subsp. cremoris were not. GABA production thus represents another effective characteristic for distinguishing L. lactis subsp. lactis from L. lactis subsp. cremoris.",GABA production,Yes,
Q3-1,bb_train_315,Exhibits,Microorganism,Actinobacteria,Phenotype,"Actinobacteria are wide spread in nature and represent the largest taxonomic group within the domain Bacteria. They are abundant in soil and have been extensively explored for their therapeutic applications. This versatile group of bacteria has adapted to diverse ecological habitats, which has drawn considerable attention of the scientific community in recent times as it has opened up new possibilities for novel metabolites that may help in solving some of the most challenging problems of the day, for example, novel drugs for drug-resistant human pathogens, affordable means to maintain ecological balance in various habitats, and alternative practices for sustainable agriculture. Traditionally, free dwelling soil actinobacteria have been the subject of intensive research. Of late, symbiotic actinobacteria residing as endophytes within the plant tissues have generated immense interest as potential source of novel compounds, which may find applications in medicine, agriculture, and environment. In the light of these possibilities, this review focuses on the diversity of endophytic actinobacteria isolated from the plants of extreme habitats and specific ecological niches. Furthermore, an attempt has been made to assign chemical class to the compounds obtained from endophytic actinobacteria. Potential therapeutic applications of these compounds and the utility of endophytic actinobacteria in agriculture and environment are discussed.",They are abundant in soil,No,Environment is not an example of phenotype.
Q3-2,bb_train_315,Exhibits,Microorganism,Actinobacteria,Phenotype,"Actinobacteria is found to have a potent metabolic activity against pathogens. The present study reveals the assessment of potent antifungal secondary metabolites from actinobacteria isolated from Indian marine mangrove sediments. The samples were collected from the coastal regions of Muthupet, Andaman and the Nicobar Islands. Identification was carried out using 16S rRNA analysis and biosynthetic genes (Polyketide synthase type I/II and Non-ribosomal peptide synthase) were screened. Actinobacteria were assayed for their antifungal activity against 16 clinical Candida albicans and the compound analysis was performed using gas chromatography-mass spectrometry GC-MS. The 31 actinobacterial strains were isolated and 16S rRNA gene sequencing revealed that this ecosystem is rich on actinobacteria, with Streptomyces as the predominant genus. The PCR based screening of biosynthetic genes revealed the presence of PKS-I in six strains, PKS-II in four strains and NRPS in 11 strains. The isolated actinobacteria VITGAP240 and VITGAP241 (two isolates) were found to have a potential antifungal activity against all the tested C. albicans. GC-MS results revealed that the actinobacterial compounds were belonging to heterocyclic, polyketides and peptides.",Actinobacteria is found to have a potent metabolic activity against pathogens,Yes,
