seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q1-1,seedev_train_965,Exists_At_Stage,Protein,LEC1,Development_Phase,"LEAFY COTYLEDON1 (LEC1), an atypical subunit of the nuclear transcription factor Y (NF-Y) CCAAT-binding transcription factor, is a central regulator that controls many aspects of seed development including the maturation phase during which seeds accumulate storage macromolecules and embryos acquire the ability to withstand desiccation. To define the gene networks and developmental processes controlled by LEC1, genes regulated directly by and downstream of LEC1 were identified. We compared the mRNA profiles of wild-type and lec1-null mutant seeds at several stages of development to define genes that are down-regulated or up-regulated by the lec1 mutation. We used ChIP and differential gene-expression analyses in Arabidopsis seedlings overexpressing LEC1 and in developing Arabidopsis and soybean seeds to identify globally the target genes that are transcriptionally regulated by LEC1 in planta Collectively, our results show that LEC1 controls distinct gene sets at different developmental stages, including those that mediate the temporal transition between photosynthesis and chloroplast biogenesis early in seed development and seed maturation late in development. Analyses of enriched DNA sequence motifs that may act as cis-regulatory elements in the promoters of LEC1 target genes suggest that LEC1 may interact with other transcription factors to regulate distinct gene sets at different stages of seed development.",maturation phase,Yes,
Q1-2,seedev_train_965,Exists_At_Stage,Protein,LEC1,Development_Phase,"The LAFL transcription factors LEC2, ABI3, FUS3 and LEC1 are master regulators of seed development. LEC2, ABI3 and FUS3 are closely related proteins that contain a B3-type DNA binding domain. We have previously shown that LEC1 (a NF-YB type protein) can increase LEC2 and ABI3 but not FUS3 activity. Interestingly, FUS3, LEC2 and ABI3 contain a B2 domain, the function of which remains elusive. We showed that LEC1 and LEC2 partially co-localised in the nucleus of developing embryos. By comparing protein sequences from various species, we identified within the B2 domains a set of highly conserved residues (i.e. TKxxARxxRxxAxxR). This domain directly interacts with LEC1 in yeast. Mutations of the conserved amino acids of the motif in the B2 domain abolished this interaction both in yeast and in moss protoplasts and did not alter the nuclear localisation of LEC2 in planta. Conversely, the mutations of key amino acids for the function of LEC1 in planta (D86K) prevented the interaction with LEC2.",seed development,Yes,
Q1-3,seedev_train_965,Exists_At_Stage,Protein,LEC1,Development_Phase,"The Arabidopsis LEAFY COTYLEDON1 (LEC1) gene is required for the specification of cotyledon identity and the completion of embryo maturation. We isolated the LEC1 gene and showed that it functions at an early developmental stage to maintain embryonic cell fate. The LEC1 gene encodes a transcription factor homolog, the CCAAT box-binding factor HAP3 subunit. LEC1 RNA accumulates only during seed development in embryo cell types and in endosperm tissue. Ectopic postembryonic expression of the LEC1 gene in vegetative cells induces the expression of embryo-specific genes and initiates formation of embryo-like structures. Our results suggest that LEC1 is an important regulator of embryo development that activates the transcription of genes required for both embryo morphogenesis and cellular differentiation.",early developmental stage,Yes,
Q1-4,seedev_train_965,Exists_At_Stage,Protein,LEC1,Development_Phase,"The Arabidopsis LEAFY COTYLEDON1 (LEC1) gene is required for the specification of cotyledon identity and the completion of embryo maturation. We isolated the LEC1 gene and showed that it functions at an early developmental stage to maintain embryonic cell fate. The LEC1 gene encodes a transcription factor homolog, the CCAAT box–binding factor HAP3 subunit. LEC1 RNA accumulates only during seed development in embryo cell types and in endosperm tissue. Ectopic postembryonic expression of the LEC1 gene in vegetative cells induces the expression of embryo-specific genes and initiates formation of embryo-like structures. Our results suggest that LEC1 is an important regulator of embryo development that activates the transcription of genes required for both embryo morphogenesis and cellular differentiation.prs.rt(""abs_end"");",early developmental stage,Yes,Repeat of above.
Q1-5,seedev_train_965,Exists_At_Stage,Protein,LEC1,Development_Phase,"The anatomy of lec1 mutant cotyledons is intermediate between those of a wild-type cotyledon and a leaf (West et al. 1994). Finally, LEC1 appears to act only during embryo development. Desiccation-intolerant lec1 embryos can be rescued from plants before desiccation and germinated to produce homozygous mutant plants that are fertile and that do not display any obvious vegetative or floral mutant phenotypes ([28] and [53]). Two other LEC class genes, LEC2 and FUSCA3 (FUS3), are thought to share similar or overlapping functions with LEC1, including the specification or cotyledon identity and the maintenance of maturation ([2], [18] and [29]). Although nothing has been reported about how LEC class genes act at the molecular level, their involvement in many diverse aspects of embryogenesis suggests that these genes serve as regulators of higher plant embryonic processes.Figure 1. Pleiotropic Effects of the lec1 Mutation on Embryo DevelopmentMajor differences between wild-type and lec1 mutant embryos are as follows. Embryo shape: the axes of mutant embryos are short, and their cotyledons are round and do not curl. Anthocyanin generally accumulates at the tips of mutant cotyledons.",embryo development,Yes,
Q2-1,seedev_train_971,Exists_At_Stage,RNA,FUS3 transcript,Development_Phase,"The transcription factor FUSCA3 (FUS3) controls the transition from the embryonic to the vegetative phase of development by regulating abscisic acid (ABA) and gibberellic acid (GA) levels in Arabidopsis thaliana. In a feedback loop, FUS3 accumulation is negatively and positively regulated by GA and ABA, respectively, by an uncharacterized mechanism. Here, we use a FUS3-GFP construct to show that the level of the FUS3 protein decreases dramatically during mid to late embryogenesis, whereas its mRNA is present at a high level. Deletion studies identify a C-terminal domain (CTD) that negatively regulates mRNA and protein levels, and mediates sensitivity to ABA and GA. Indeed, a CTD-truncated FUS3 variant accumulates at high level, and is insensitive to the destabilizing and stabilizing effects of GA and ABA, respectively. In contrast, fusion of various fragments of the CTD with GFP is sufficient to greatly reduce GFP fluorescence. The GFP-CTD fluorescence can be increased by ABA and paclobutrazol, an inhibitor of GA biosynthesis. Cell-free degradation assays show that FUS3 is a short-lived protein.",vegetative,No,"The presence of the RNA during vegetative phase is unclear from this paragraph. However, the paragraph makes clear that the mRNA is at high level during mid and late embryogenesis which is the most correct answer found here."
Q2-2,seedev_train_971,Exists_At_Stage,RNA,FUS3 transcript,Development_Phase,"Conditionally lethal mutant alleles of the FUSCA3 (FUS3) gene of Arabidopsis thaliana are specifically defective in the gene expression program responsible for seed maturation. FUS3 was isolated by map-based cloning and expression of the FUS3 cDNA resulted in complementation of the Fus3- phenotype. In the predicted FUS3 gene product, a continuous stretch of more than 100 amino acids shows significant sequence similarity to the B3 domains of the polypeptides encoded by ABI3 (Arabidopsis) and VP1 (maize). FUS3 transcription was detected mainly in siliques and was found to be developmentally regulated during embryogenesis. Transcripts of abnormal sizes were observed in fus3 mutants due to aberrant splicing caused by point mutations at intron termini. Sequence analysis of mutant and wild-type FUS3 alleles, as well as sequencing of fus3 cDNAs, revealed small inframe deletions at two different sites of the coding region. While a deletion between B3 and the C-terminus of the predicted polypeptide was found in conjunction with normal FUS3 function, another deletion located within the conserved B3 domain (as well as truncations therein) were associated with the Fus3- phenotype.",embryogenesis,Yes,
Q2-3,seedev_train_971,Exists_At_Stage,RNA,FUS3 transcript,Development_Phase,"We also showed that immature fus3 siliques accumulated one-third of the wild-type level of abscisic acid (ABA), but mature fus3 siliques accumulated ABA at a level comparable to that in the wild type. The possible mechanisms of controlling developmental timing in late embryo development as well as collaborative and distinct roles of ABI3 and FUS3 are discussed.",late embryo development,No,"This answer appears to be correct from previous paragraphs but is not clear from this one. Not incorrect, but the conclusion cannot be drawn from this particular source."
Q2-4,seedev_train_971,Exists_At_Stage,RNA,FUS3 transcript,Development_Phase,"Arabidopsis abi3 and fus3 mutants are defective in late embryo development and their embryos show precocious growth. To understand the function and role of ABI3 and FUS3, we analyzed expression patterns of genes which were normally activated during late embryo development and germination in these mutants. Using the differential display method, both upregulated and downregulated genes were observed in immature siliques of the abi3 fus3 double mutant. Four clones having more abundant expression in the abi3 fus3 double mutant than in wild type were isolated. These genes were activated during wild-type germination, suggesting that some genes that are activated during wild-type germination are precociously activated in the abi3 fus3 mutant during late embryo development. Also, genes that were activated during wild-type germination were isolated and their expression patterns during late embryo development in the wild type and in abi3, fus3, and abi3 fus3 mutants were analyzed. Sixteen such clones were found, and 11 of these showed derepression or precocious activation of gene expression in the mutants. These results indicate that ABI3 and FUS3 negatively regulate a particular set of genes during late embryo development.",late embryo development,No,"This answer appears to be correct from previous paragraphs but is not clear from this one. Not incorrect, but the conclusion cannot be drawn from this particular source."
Q2-5,seedev_train_971,Exists_At_Stage,RNA,FUS3 transcript,Development_Phase,"LEC1-induced ectopic expression of the At1g62290 aspartic protease gene, which was identified to be regulated preferentially by FUS3, was more severely affected in the fus3 mutant than in the abi3 mutant. From these data, we suggest that LEC1 controls the expression of the SSP genes in a hierarchical manner, which involves ABI3 and FUS3.",LEC1-induced ectopic,No,"Object is referring to expression of a different gene, not that of the desired subject."
