seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q1-1,agac_task3_96,GOF,Gene,GSTM1,Disease,"Glutathione S transferase mu 1 (GSTM1) gene has been associated with lung cancer (LC) risk, for GSTM1 enzyme playing a vital role in detoxification pathway and protective against toxic insults. The major objective of this study was to investigate GSTM1 deletion pattern and its association with LC in the world's population by using meta-prediction techniques. The secondary objective was to examine the effects of air pollution, smoking status, and other factors for gene-environment interactions with GSTM1 deletion and LC risk. We completed a comprehensive search to yield a total of 170 studies (40,296 cases and 48,346 controls) published from 1999 to 2017 for meta-analyses. The results revealed that GSTM1 deletion type was associated with increased risk of LC, while GSTM1 present type provided protective effect for all populations combined worldwide. Subgroup analysis on the rank order of risks from highest to lowest, among racial-ethnic groups, were Chinese, South East Asian, other North Asian, European, and finally American. Additional predictive analyses presented that air pollution played a significant role with increased risks of GSTM1 deletion and LC susceptibility, and the risks increased for smokers with higher levels of air pollution.",lung cancer,No,"Lung cancer is an effect of GSTM1 deletion, not gain of function."
Q1-2,agac_task3_96,GOF,Gene,GSTM1,Disease,"The GSTM1 genotype does not relate with remission and partial remission rates after 1 course treatment of AL patients, but relates with LDH level. GSTM1 null genotype deletion may play a role in risk of leukemia.",leukemia,No,Deletion and null genotypes are the opposite of gain of function.
Q1-3,agac_task3_96,GOF,Gene,GSTM1,Disease,"There was no statistical difference between groups in terms of both GSTT1 null genotype (OR = 1.114, 95% CI: 0.590-2.105) and GSTM1 null genotype (OR = 0.776, 95% CI: 0.466-1.290). This is the first case-control study investigating CYP1A1 Ile/Val, GSTT1 and GSTM1 polymorphisms in Turkish lung cancer patients. Although we suggest that other genes in addition to the proposed genes could play a role in lung cancer development, the results of our study will contribute to the possible associations between CYP1A1 Ile/Val, GSTT1 and GSTM1 gene polymorphism on the risk of lung cancer.",lung cancer,No,"This conclusion cannot be drawn from solely this paragraph. Null alleles have the same phenotype as deletion and ""polymorphism"" can refer to any alternative genotype, not only a gain of function."
Q1-4,agac_task3_96,GOF,Gene,GSTM1,Disease,"Reactive oxygen species (ROS) are implicated in carcinogenesis, and cellular antioxidant systems are important for detoxifying ROS and reversing oxidant-mediated modifications. Glutathione S-transferase mu (GSTM) belongs to a family of phase II detoxification enzymes that catalyze the conjugation of reduced glutathione (GSH) to a wide range of endogenous and exogenous electrophilic compounds. The genotype of GSTM1 was associated with the risk and prognosis of cancer in several meta-analyses. This study explored the function of GSTM1 in hepatocellular carcinoma (HCC). Polymerase chain reaction (PCR) and western blotting (WB) were used to detect the levels of gene and protein expression. MTS assays, Transwell assays, and flow cytometry were used to explore the function of GSTM1 in vitro. The xenograft assay and tail vein injection model were used to explore the function of GSTM1 in vivo. The mRNA and protein expression of GSTM1 was downregulated in HCC, but the expression levels of GSTM1 were not correlated with patient survival time.",cancer,No,"GSTM1 has some alleles/polymorphisms that seem to lower cancer risk and some that appear to increase cancer risk, but deleting or nullifying the gene entirely has been found to increase cancer risk in multiple studies. There is no literature I could find on GSTM1 gain of function."
Q1-5,agac_task3_96,GOF,Gene,GSTM1,Disease,"However, the EM genotypes enhances the risk further for individuals harboring the GSTM1 null genotype as individuals harboring both the EM and the GSTM1 null genotypes have an odds ratio of 14.0 (95% CL = 1.3- 151.4, Fisher's exact P = 0.02) compared to individuals harboring the EM and the GSTM1 +/+ genotypes. In conclusion, our results indicate that genetic polymorphism, especially in GSTM1 and CYP2D6 could play an important role as host risk factors for development of urinary bladder cancer among Egyptians.",urinary bladder cancer,No,"Polymorphism does not strictly imply gain of function, simply means one of multiple alleles present."
Q2-1,agac_task3_98,GOF,Gene,HCN2,Disease,"In summary, a novel mutation in HCN2 likely leads to impaired GI motility, causing the severe growth restriction seen in mice with mutations that eliminate HCN2 expression.",impaired GI motility,No,Eliminating HCN2 expression is the opposite of a gain of function.
Q2-2,agac_task3_98,GOF,Gene,HCN2,Disease,"We hypothesized that localized overexpression of the hyperpolarization-activated, cyclic nucleotide-gated (HCN2) pacemaker current isoform in canine left atrium (LA) would constitute a novel biological pacemaker. Adenoviral constructs of mouse HCN2 and green fluorescent protein (GFP) or GFP alone were injected into LA, terminal studies performed 3 to 4 days later, hearts removed, and myocytes examined for native and expressed pacemaker current (I(f)). Spontaneous LA rhythms occurred after vagal stimulation-induced sinus arrest in 4 of 4 HCN2+GFP dogs and 0 of 3 GFP dogs (P<0.05). Native I(f) in nonexpressed atrial myocytes was 7+/-4 pA at -130 mV (n=5), whereas HCN2+GFP LA had expressed pacemaker current (I(HCN2)) of 3823+/-713 pA at -125 mV (n=10) and 768+/-365 pA at -85 mV. HCN2 overexpression provides an I(f)-based pacemaker sufficient to drive the heart when injected into a localized region of atrium, offering a promising gene therapy for pacemaker disease.",pacemaker disease,No,"The opposite conclusion should be drawn: overexpression of HCN2 can be used to treat pacemaker disease, as it provides a pacemaker sufficient to constitute a novel biological pacemaker and drive the heart."
Q2-3,agac_task3_98,GOF,Gene,HCN2,Disease,"This work demonstrates cell swelling as a new regulatory mechanism for the cloned hyperpolarization-activated, cyclic nucleotide-gated channel 2 (HCN2). HCN2 channels were coexpressed with aquaporin1 in Xenopus laevis oocytes and currents were monitored using a two-electrode voltage-clamp. HCN2 channels were activated by hyperpolarization to -100 mV and the currents were measured before and during hypoosmotic cell swelling. Cell swelling increased HCN2 currents by 30% without changing the kinetics of the currents. Injection of 50 nl intracellular solution resulted in a current increase of 20%, indicating that an increase in cell volume also under isoosmotic conditions may lead to activation of HCN2. In the absence of aquaporin1 only negligible changes in oocyte cell volume occur during exposure to hypoosmotic media and no significant change in HCN2 channel activity was observed during perfusion with hypoosmotic media. This indicates that cell swelling and not a change in ionic strength of the media, caused the observed swelling-induced increase in current. The increase in HCN2 current induced by cell swelling could be abolished by cytochalasin D treatment, indicating that an intact F-actin cytoskeleton is a prerequisite for the swelling-induced current.",cell swelling,No,"Cell swelling is observed here as a regulator of HCN2 current, not an outcome of its overexpression."
Q2-4,agac_task3_98,GOF,Gene,HCN2,Disease,"The genetic architecture of common epilepsies is largely unknown. HCNs are excellent epilepsy candidate genes because of their fundamental neurophysiological roles. Screening in subjects with febrile seizures and genetic epilepsy with febrile seizures plus revealed that 2.4% carried a common triple proline deletion (delPPP) in HCN2 that was seen in only 0.2% of blood bank controls. Currents generated by mutant HCN2 channels were approximately 35% larger than those of controls; an effect revealed using automated electrophysiology and an appropriately powered sample size. This is the first association of HCN2 and familial epilepsy, demonstrating gain of function of HCN2 current as a potential contributor to polygenic epilepsy.",polygenic epilepsy,Yes,
Q2-5,agac_task3_98,GOF,Gene,HCN2,Disease,"Quantitative validation of HCN2 promoter methylation level in the region detected by BS-seq was performed in a larger cohort of primary tumors (n=32) confirming significant HCN2 hypomethylation in ACCs compared with normal samples (n=10; p=0.04). HCN2 immunohistochemical staining was performed on an ACC tissue microarray. HCN2 staining intensity and H-score, but not percentage of the positively stained cells, were significantly stronger in normal tissues than those of ACC tissues. With our novel screening and sequencing methods, we identified several gene candidates that were methylated. The most significant of these genes, HCN2, was actually hypomethylated in tumors. However, promoter methylation status does not appear to be a major determinant of HCN2 expression in normal and ACC tissues. HCN2 hypomethylation is a biomarker of ACC and may play an important role in the carcinogenesis of ACC.",carcinogenesis of ACC.,No,Hypomethylation (a modifier of a gene) of HCN2 is associated with carcinogenesis but this does not imply gain of function of the gene itself.
