seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q1-1,seedev_train_930,Has_Sequence_Identical_To,Gene,SIL1,Gene,"In line with impaired function of BiP secondary to loss of its nucleotide exchange factor Sil1, we observed activation of the unfolded protein response and the endoplasmic-reticulum-associated protein degradation-pathway. Despite initiation of the autophagy-lysosomal system, autophagic clearance was found ineffective which is in agreement with the formation of autophagic vacuoles. This report identifies woozy muscle as a faithful phenocopy of the MSS myopathy. Moreover, we provide a link between two well-established disease mechanisms in skeletal muscle, dysfunction of chaperones and nuclear envelope pathology.",BiP,No,SIL1 activates BiP by exchanging its factor to the active form; they are not equivalent proteins.
Q1-2,seedev_train_930,Has_Sequence_Identical_To,Gene,SIL1,Gene,"Finally, these results were confirmed and extended in three human EBV-transformed lymphoblastoid cell lines from individuals with MSS, leading us to conclude that the BiP cofactor Sil1 is dispensable for antibody production.",BiP,No,"Cofactors, not equivalent."
Q1-3,seedev_train_930,Has_Sequence_Identical_To,Gene,SIL1,Gene,"Marinesco-Sjögren syndrome (MSS) is a rare, early onset, autosomal recessive multisystem disorder characterized by cerebellar ataxia, cataracts and myopathy. Most MSS cases are caused by loss-of-function mutations in the gene encoding SIL1, a nucleotide exchange factor for the molecular chaperone BiP which is essential for correct protein folding in the endoplasmic reticulum. Woozy mice carrying a spontaneous Sil1 mutation recapitulate key pathological features of MSS, including cerebellar atrophy with degeneration of Purkinje cells and progressive myopathy. Because the PERK branch of the unfolded protein response is activated in degenerating neurons of woozy mice, and inhibiting PERK-mediated translational attenuation has shown protective effects in protein-misfolding neurodegenerative disease models, we tested the therapeutic efficacy of GSK2606414, a potent inhibitor of PERK. Mice were chronically treated with GSK2606414 starting from a presymptomatic stage, and the effects were evaluated on biochemical, histopathological and clinical readouts. GSK2606414 delayed Purkinje cell degeneration and the onset of motor deficits, prolonging the asymptomatic phase of the disease; it also reduced the skeletal muscle abnormalities and improved motor performance during the symptomatic phase.",a nucleotide exchange factor for the molecular chaperone BiP,Yes,SIL1 is by definition the nucleotide exchange factor for BiP; these are equivalent.
Q1-4,seedev_train_930,Has_Sequence_Identical_To,Gene,SIL1,Gene,The entire five amino acid consensus sequence (Ser/Thr-hydrophobic/ aromatic-Ser/Thr-Pro-Ser/Thr) was also found as multiple copies in the primary sequences of metal-oxide binding proteins Sil1 and Sil2 from Thalassiosira pseudonana. We suggest that this motif constitutes a natural metal-oxide binding archetype that could be exploited in enzyme-based biofuel cell design and approaches to synthesize tailored metal-oxide nanostructures.,Thalassiosira pseudonana,No,"Thalassiosira pseudonana is the organism studied, not a gene."
Q1-5,seedev_train_930,Has_Sequence_Identical_To,Gene,SIL1,Gene,"Secretory and cell membrane proteins are synthesized in the endoplasmic reticulum (ER), where a network of molecular chaperones and folding factors ensure correct protein folding and export to post-ER compartments. Failure of this process leads to accumulation of unfolded/misfolded proteins, ER stress, and activation of the unfolded protein response (UPR), a complex signalling pathway aimed at restoring ER homeostasis, whose failure eventually leads to cell death. SIL1 is a nucleotide exchange factor for BiP, the main ER chaperone and primary sensor of ER stress. Loss of SIL1 function causes Marinesco-Sjögren syndrome (MSS), a rare multisystem disease of early infancy for which there is no cure. This review, examines the current understanding of SIL1 activities in the ER, and reviews experimental data describing the consequences of SIL1 deficiency in cell and animal models. We discuss the evidence supporting a role of the UPR -particularly the PERK branch - in the pathogenesis of MSS, and how this may be pharmacologically manipulated for treatment.",BiP,No,SIL1 activates BiP by exchanging its factor to the active form; they are not equivalent proteins.
Q2-1,seedev_dev_165,Has_Sequence_Identical_To,Protein_Family,ethylene responsive element binding protein,Protein_Family,"An oilseed rape (Brassica napus H) cDNA microarray containing 8095 expressed sequence tags (ESTs) was used to analyze the B. napus gene expression changes elicited by oligochitosan. Transcript levels for 393 genes were altered twofold or more in oligochitosan-treated seedlings compared to control seedlings. Of the 393 genes, 257 were repressed and 136 were induced. Semi quantification RT-PCR of eight of these 393 genes confirmed the microarray results. These 393 genes were involved in different processes and had different functions including defense, primary metabolism, transcription, and signal transduction etc. Some of these genes were elicited by various pathogen-related or stress stimuli, and others were regulated by plant growth regulators like auxin and gibberellin. These manifested complicated interactions of oligochitosan and phytohormones. An important jasmonic acid (JA) synthase (2-oxophytodienoate-10,11-reductase) gene, a JA-mediated defense required kinase ATMPK4-homolog gene, an ethylene receptor gene, and two ethylene responsive element binding protein (EREBP) genes were induced by oligochitosan, suggesting that oligochitosan activated the plant self-defense through JA/ET signaling pathway.",(EREBP),Yes,
Q2-2,seedev_dev_165,Has_Sequence_Identical_To,Protein_Family,ethylene responsive element binding protein,Protein_Family,"The plant gaseous hormone ethylene regulates many aspects of plant growth, development and responses to the environment. ETHYLENE INSENSITIVE3 (EIN3) is a transcription factor involved in the ethylene signal transduction pathway in Arabidopsis. To gain a better understanding of the ethylene signal transduction pathway in rice, six EIN3-like genes (designated OsEIL1-6) were identified. OsEIL1, which showed highest similarity with EIN3, was isolated and functionally characterized. Ectopic expression of OsEIL1 in Arabidopsis can partially complement the ein3-1 mutant. The transgenic rice plants with overexpression of OsEIL1 exhibit short root, coiled primary root and slightly short shoot phenotype and elevated response to exogenous ethylene. OsEBP89, an ethylene responsive element binding protein (EREBP) and OsACO1, an ACC (1-aminocyclopropane-1-carboxylic acid) oxidase gene were enhanced in the OsEIL1 overexpressing transgenic plants. These results indicate that OsEIL1 is involved in ethylene signal transduction pathway and acts as a positive regulator of ethylene response in rice.",(EREBP),Yes,
Q2-3,seedev_dev_165,Has_Sequence_Identical_To,Protein_Family,ethylene responsive element binding protein,Protein_Family,"Members of the GROWTH-REGULATING FACTOR (GRF) and Auxin/indole-3-acetic acid (Aux/IAA) gene families appear to be over-represented in the genome relative to common bean and soybean, whereas members of the MADS (Minichromosome maintenance deficient 1 (MCM1), AGAMOUS, DEFICIENS, and serum response factor (SRF)) and C2C2-YABBY appear to be under-represented. Analysis of the AP2-EREBP APETALA2-Ethylene Responsive Element Binding Protein (AP2-EREBP), NAC (NAM (no apical meristem), ATAF1, 2 (Arabidopsis transcription activation factor), CUC (cup-shaped cotyledon)), and WRKY families, known to be important in defense signaling, revealed changes and phylogenetic rearrangements relative to common bean and soybean that suggest these groups may have evolved different functions. The availability of detailed information on the coding capacity of the cowpea genome and in particular the various TF and TAP gene families will facilitate future comparative analysis and development of strategies for controlling growth, differentiation, and abiotic and biotic stress resistances of cowpea.","(AP2-EREBP),",Yes,
Q2-4,seedev_dev_165,Has_Sequence_Identical_To,Protein_Family,ethylene responsive element binding protein,Protein_Family,"The AP2 (APETALA2)/EREBP (Ethylene Responsive Element Binding Protein) multigene family includes developmentally and physiologically important transcription factors. AP2/EREBP genes are divided into two subfamilies: AP2 genes with two AP2 domains and EREBP genes with a single AP2/ERF (Ethylene Responsive Element Binding Factor) domain. Based on previous phylogenetic analyses, AP2 genes can be divided into two clades, AP2 and ANT groups. To clarify the molecular evolution of the AP2 subfamily, we isolated and sequenced genes with two AP2 domains from three gymnosperms, Cycas revoluta, Ginkgo biloba, and Gnetum parvifolium,as well as from the moss Physcomitrella patens. Expressions of AP2-like genes, including AP2, in Arabidopsis thaliana are regulated by the microRNA miR172. We found that the target site of miR172 is significantly conserved in gymnosperm AP2 homologs, suggesting that regulatory mechanisms of gene expression using microRNA have been conserved over the three hundred million years since the divergence of gymnosperm and flowering plant lineages. We inferred a phylogenetic relationship of these genes with the green alga Chlamydomonas reinhardtii and seed-plant genes available in public DNA databases.",AP2 (APETALA2)/EREBP,Yes,
Q2-5,seedev_dev_165,Has_Sequence_Identical_To,Protein_Family,ethylene responsive element binding protein,Protein_Family,"Gene expression patterns covering over 10,000 seed-expressed sequences were analyzed by macroarray technology in maternal tissue (mainly pericarp) and filial endosperm and embryo during barley seed development from anthesis until late maturation. Defined sets of genes showing distinct expression patterns characterized both tissue type and major developmental phases. The analysis focused on regulatory networks involved in programmed cell death (PCD) and abscisic acid (ABA)-mediated maturation. These processes were similar in the different tissues, but typically involved the expression of alternative members of a common gene family. The analysis of co-expressed gene sets and the identification of cis regulatory elements in orthologous rice gene 'promoter' regions suggest that PCD in the pericarp is mediated by distinct classes of proteases and is under the hormonal control of both jasmonic acid (JA) and ethylene via ethylene-responsive element binding protein (EREBP) transcription factors (TFs). On the other hand, PCD in endosperm apparently involves only the ethylene pathway, but employs distinct gene family members from those active in the pericarp, and a different set of proteases and TFs. JA biosynthetic genes are hardly activated. Accordingly, JA levels are high in the pericarp but low in the endosperm during middle and late developmental stages.",(EREBP),Yes,
