seq_no,qid,relation,subject type,subject,object type,paragraph,object,correct,comments
Q1-1,seedev_train_915,Regulates_Expression,Tissue,embryo proper,Gene,"These data indicate that heparin causes closure defects of cranial neurulation, primarily by an effect at the tissue level of the embryo proper.",heparin,No,"Heparin is not a gene and is not affecting expression of a gene, but is toxic to an already-developed tissue."
Q1-2,seedev_train_915,Regulates_Expression,Tissue,embryo proper,Gene,Our data also suggest that Oct1 is required in the embryo proper from late gastrulation stages onwards.,Oct1,No,"Proteins regulate gene expression, tissues do not. Subject type should be modified."
Q1-3,seedev_train_915,Regulates_Expression,Tissue,embryo proper,Gene,"The earliest cell fate decision in the mammalian embryo separates the extra-embryonic trophoblast lineage, which forms the fetal portion of the placenta, from the embryonic cell lineages. The body plan of the embryo proper is established only later at gastrulation, when the pluripotent epiblast gives rise to the germ layers ectoderm, mesoderm and endoderm. Here we show that the T-box gene Eomesodermin performs essential functions in both trophoblast development and gastrulation. Mouse embryos lacking Eomesodermin arrest at the blastocyst stage. Mutant trophoectoderm does not differentiate into trophoblast, indicating that Eomesodermin may be required for the development of trophoblast stem cells. In the embryo proper, Eomesodermin is essential for mesoderm formation. Although the specification of the anterior-posterior axis and the initial response to mesoderm-inducing signals is intact in mutant epiblasts, the prospective mesodermal cells are not recruited into the primitive streak. Our results indicate that Eomesodermin defines a conserved molecular pathway controlling the morphogenetic movements of germ layer formation and has acquired a new function in mammals in the differentiation of trophoblast.",Eomesodermin,No,No regulation of eomesodermin is mentioned. Subject type should again be modified. 
Q1-4,seedev_train_915,Regulates_Expression,Tissue,embryo proper,Gene,"In particular, let-7b-5p, miR-200c-3p and miR-23a-3p were significantly upregulated in outgrowth embryos compared with non-outgrowth blastocysts. Overall, differentially expressed miRNAs in outgrowth embryos compared with blastocysts and non-outgrowth embryos could be involved in embryo attachment, and interaction between the embryo proper and maternal endometrium during the implantation process.",miRNAs,No,Micro RNAs are not genes
Q1-5,seedev_train_915,Regulates_Expression,Tissue,embryo proper,Gene,"The application of human embryonic stem (ES) cells in medicine and biology has an inherent reliance on understanding the starting cell population. Human ES cells differ from mouse ES cells and the specific embryonic origin of both cell types is unclear. Previous work suggested that mouse ES cells could only be obtained from the embryo before implantation in the uterus. Here we show that cell lines can be derived from the epiblast, a tissue of the post-implantation embryo that generates the embryo proper. These cells, which we refer to as EpiSCs (post-implantation epiblast-derived stem cells), express transcription factors known to regulate pluripotency, maintain their genomic integrity, and robustly differentiate into the major somatic cell types as well as primordial germ cells. The EpiSC lines are distinct from mouse ES cells in their epigenetic state and the signals controlling their differentiation. Furthermore, EpiSC and human ES cells share patterns of gene expression and signalling responses that normally function in the epiblast. These results show that epiblast cells can be maintained as stable cell lines and interrogated to understand how pluripotent cells generate distinct fates during early development.",pluripotency,No,"Pluripotency is a characteristic of stem cells, not a gene."
Q2-1,seedev_dev_118,Regulates_Expression,Protein,AP2,Gene,"Transcription factor activating protein 2 (AP2) plays an important role in cellular differentiation. Although profound craniofacial and long bone developmental abnormalities have been observed in AP2-knockout mice, the molecular effects of AP2 on osteoblasts are poorly defined. We demonstrated that AP2 regulates the expression of human Frizzled 1 (FZD1), a co-receptor for the Wnt signalling pathway, in human osteoblast cell lines and primary bone marrow stromal cells (BMSCs). We also identified a putative AP2-binding site in the FZD1 proximal promoter in silico and characterized this binding element further in Saos2 in vitro by ChIP, electrophoretic mobility shift and promoter reporter assays. The transcriptional repression of the FZD1 promoter by AP2 was confirmed in normal human fetal osteoblasts (hFOB). Furthermore, overexpression of AP2 resulted in a significant reduction in both differentiation and mineralization of Saos2 cells. Knockdown of FZD1 expression before AP2 up-regulation diminished the AP2-dependent inhibition of Saos2 cell differentiation and mineralization. Similarly, overexpressing FZD1 before AP2 treatment in both Saos2 and BMSCs diminished the inhibitory effect of AP2 on osteoblast differentiation and mineralization.","human Frizzled 1 (FZD1),",Yes,
Q2-2,seedev_dev_118,Regulates_Expression,Protein,AP2,Gene,"More than 50% of colon cancers bear mutations in p53, one of the most important tumor suppressors, and its family members p63 or p73 are expected to contribute to inhibiting the progression of colon cancers. The AP2 family also acts as a tumor suppressor. Here we found that p73 and AP2 are able to activate NEU4, a neuraminidase gene, which removes the terminal sialic acid residues from cancer-associated glycans. Under serum starvation, NEU4 was up-regulated and one of the NEU4 target glycans, sialyl Lewis X, was decreased, whereas p73 and AP2 were up-regulated. Sialyl Lewis X levels were not, however, decreased under starvation conditions in p73- or AP2-knockdown cells. p53 and AP2 underwent protein-protein interactions, exerting synergistic effects to activate p21, and interaction of p53 with AP2 was lost in cells expressing the L350P mutation of p53. The homologous residues in p63 and p73 are L423 and L377, respectively.",NEU4,Yes,
Q2-3,seedev_dev_118,Regulates_Expression,Protein,AP2,Gene,"To verify the role of AP2 alpha, we specifically knocked down AP2 alpha expression with siRNA. A significant AP2 alpha knock-down inhibited PMA-induced MUC8 gene expression. While dominant negative AP2 alpha decreased PMA-induced MUC8 gene expression, overexpressing wildtype AP2 alpha increased MUC8 gene expression. Furthermore, using lentiviral vectors for RNA interference in human nasal polyp epithelial cells, we confirmed an essential role for AP2 alpha in MUC8 gene expression. From these results, we concluded that PMA induces MUC8 gene expression through a mechanism involving PKC, ERK1/2, and AP2 alpha activation in human airway epithelial cells.",PMA-induced MUC8 gene expression.,Yes,
Q2-4,seedev_dev_118,Regulates_Expression,Protein,AP2,Gene,"The adipocyte fatty acid-binding protein aP2 regulates systemic glucose and lipid metabolism. We report that aP2, in addition to being abundantly expressed by adipocytes, is also expressed by human airway epithelial cells and shows a striking upregulation following stimulation of epithelial cells with the Th2 cytokines IL-4 and IL-13. Regulation of aP2 mRNA expression by Th2 cytokines was highly dependent on STAT6, a transcription factor with a major regulatory role in allergic inflammation. We examined aP2-deficient mice in a model of allergic airway inflammation and found that infiltration of leukocytes, especially eosinophils, into the airways was highly dependent on aP2 function. T cell priming was unaffected by aP2 deficiency, suggesting that aP2 was acting locally within the lung, and analysis of bone marrow chimeras implicated non-hematopoietic cells, most likely bronchial epithelial cells, as the site of action of aP2 in allergic airway inflammation. Thus, aP2 regulates allergic airway inflammation and may provide a link between fatty acid metabolism and asthma.",systemic glucose and lipid metabolism,No,"These are not genes, but features of pathologies."
Q2-5,seedev_dev_118,Regulates_Expression,Protein,AP2,Gene,"The APETALA2 (AP2) genes represent the AP2 group within a large group of DNA-binding proteins called AP2/EREBP. The AP2 gene is functional and necessary for flower development, stem cell maintenance, and seed development, whereas the other members of AP2 group redundantly affect flowering time. Here we study the phylogeny of AP2 group genes in spermatophytes. Spermatophyte AP2 group genes can be classified into AP2 and TOE types, six clades, and we found that the AP2 group homologs in gymnosperms belong to the AP2 type, whereas TOE types are absent, which indicates the AP2 type gene are more ancient and TOE type was split out of AP2 type and losing the major function. In Brassicaceae, the expansion of AP2 and TOE type lead to the gene number of AP2 group were up to six. Purifying selection appears to have been the primary driving force of spermatophyte AP2 group evolution, although positive selection occurred in the AP2 clade. The transition from exon to intron of AtAP2 in Arabidopsis mutant leads to the loss of gene function and the same situation was found in AtTOE2.",flowering time,No,Flowering time is not a gene.
